topic,published_at,title,url,description,source_name
construction materials,2025-05-01T18:37:58+00:00,'Other countries have money too': Chinese businesses make threat,https://www.alternet.org/trump-china-tariffs-bbc/,"Economists continue to warn that U.S. President Donald Trump's steep new tariffs will cause prices to soar for a wide range of imported goods. Many building and construction materials, they warn, are imported from Canada — while a long list of fruits and vegetables enter in the United States from Mexico. A variety of products are manufactured in Mainland China, which may face some of the steepest tariffs of all. In an article published on April 30, the BBC's Linda Bicker reports that Mainland China is looking to beef up its relationships with other trading partners in response to Trump's...",alternet
construction materials,2025-04-24T10:20:46+00:00,Flying Robots Unlock New Horizons in Construction,https://www.newswise.com/articles/flying-robots-unlock-new-horizons-in-construction/?sc=rsla,An international team led by researchers from Empa and EPFL has explored how in future aerial robots could process construction materials precisely in the air - an approach with great potential for difficult-to-access locations or work at great heights.,newswise
construction materials,2025-04-23T22:44:00+00:00,"Two charged with stolen farm equipment, firearm after police search in Oliver (Oliver/Osoyoos)",https://www.castanet.net/news/Oliver-Osoyoos/546283/Two-charged-with-stolen-farm-equipment-firearm-after-police-search-in-Oliver,"Two people have been arrested in connection with stolen property, including farming equipment and a firearm, following a police property search. On April 15, RCMP executed a warrant at a property on Road 15, finding two stolen motorcycles, stolen construction material, farming equipment, a firearm a...",Castanet
construction materials,2025-04-22T00:14:10+00:00,Investigators determine cause of Duke’s Roadhouse fire,https://www.inmaricopa.com/investigators-determine-cause-of-dukes-roadhouse-fire/,"More than six weeks after it blazed through the building’s north patio, Maricopa firefighters have deemed the Duke’s Roadhouse fire accidental. The March 8 fire started when “construction materials and [&#8230;]This post Investigators determine cause of Duke’s Roadhouse fire appeared first on InMaricopa.",inmaricopa
construction materials,2025-04-15T03:46:39+00:00,PPS and USFK Acquisition Partners host Joint Industry Day in South Korea [Image 23 of 23],https://www.dvidshub.net/image/8974079/pps-and-usfk-acquisition-partners-host-joint-industry-day-south-korea,"Jean Ross and a Korean employee from Defense Logistics Agency (DLA) Indo-Pacific speaks with a prospective contractor about partnering with the agency at Joint Industry Day, April 9, 2025, in Seoul, South Korea. DLA procures subsistence, clothing, constructional material and medical materials for over 150,000 personnel within the Western Pacific. (U.S. Army photo by Kyongil Yo)",dvidshub
construction materials,2025-04-07T08:15:00+00:00,Industrial Stocks To Consider – April 4th,https://www.etfdailynews.com/2025/04/07/industrial-stocks-to-consider-april-4th/,"Tesla, Broadcom, Micron Technology, Chevron, and American Rebel are the five Industrial stocks to watch today, according to MarketBeat&#8217;s stock screener tool. Industrial stocks are shares in companies that manufacture and distribute capital goods, ranging from machinery and aerospace equipment to construction materials and industrial services. These stocks typically reflect businesses involved in the production [&#8230;]",etfdailynews
construction materials,2025-04-04T19:40:23+00:00,JTF-Bravo completes PANAMAX-Alpha Phase 0 2025 [Image 8 of 10],https://www.dvidshub.net/image/8954517/jtf-bravo-completes-panamax-alpha-phase-0-2025,"U.S. Army Sgt. Brian Vazquez, Joint Task Force-Bravo Headquarters Support Company sling load inspector, loads construction material into a HH-60 Blackhawk during PANAMAX-Alpha Phase 0 in Panama, March 29, 2025. The construction materials were donated to Guna Yala Comarca to support the building of a local school. (U.S. Air Force photo by Staff Sgt. Tristan Biese)",dvidshub
construction materials,2025-04-04T19:40:23+00:00,JTF-Bravo completes PANAMAX-Alpha Phase 0 2025 [Image 7 of 10],https://www.dvidshub.net/image/8954516/jtf-bravo-completes-panamax-alpha-phase-0-2025,"A Joint Task Force-Bravo HH-60 Blackhawk carries construction material during PANAMAX-Alpha Phase 0 in Panama, March 29, 2025. PANAMAX-Alpha is a bilateral exercise between the United States and Panama conducted by JTF-Bravo and supported by the U.S. Southern Command. (Courtesy photo)",dvidshub
construction materials,2025-04-04T19:40:22+00:00,JTF-Bravo completes PANAMAX-Alpha Phase 0 2025 [Image 2 of 10],https://www.dvidshub.net/image/8954497/jtf-bravo-completes-panamax-alpha-phase-0-2025,"U.S. Army Joint Task Force-Bravo Headquarters Support Company Soldiers hook up cargo containing construction material to a HH-60 Blackhawk during PANAMAX-Alpha Phase 0 in Panama, March 29, 2025. JTF-Bravo transported more than 1,000 lbs of construction materials provided by the Ministry of Education to Mamitupu. (U.S. Air Force photo by Staff Sgt. Tristan Biese)",dvidshub
construction materials,2025-04-03T22:16:03+00:00,"Trump spares homebuilders on Canadian and Mexican imports, but China’s tariff hits hard",https://www.housingwire.com/articles/trump-tariffs-china-canada-mexico-nahb-homebuilders/,"President Trump didn’t do homebuilders any favors by imposing a dramatic 54% tariff on China, a critical supplier of construction materials.",housingwire
construction materials,2025-04-01T18:57:47+00:00,North Carolina DOT hurricane recovery to utilize national forest materials,https://landline.media/north-carolina-dot-hurricane-recovery-to-utilize-national-forest-materials/,"Access to construction materials in the Pisgah National Forest has been granted, as North Carolina DOT hurricane recovery efforts continue.",landlinemag
construction materials,2025-04-01T06:02:51+00:00,Top Industrial Stocks To Watch Now – March 30th,https://www.etfdailynews.com/2025/04/01/top-industrial-stocks-to-watch-now-march-30th/,"Tesla, Broadcom, and Micron Technology are the three Industrial stocks to watch today, according to MarketBeat&#8217;s stock screener tool. Industrial stocks are shares of companies involved in the production and distribution of goods essential to the economy, such as machinery, construction materials, aerospace equipment, and related services. Because these companies are often heavily influenced by [&#8230;]",etfdailynews
construction materials,2025-03-31T14:13:43+00:00,Historic Crittenberger school demolished to make way for new child development center [Image 2 of 2],https://www.dvidshub.net/image/8944020/historic-crittenberger-school-demolished-make-way-new-child-development-center,An operator uses the claw attachment to push walls of Crittenberger Elementary School down. The claw allows the operators to break apart portions of the building and sort different construction materials.,dvidshub
construction materials,2025-03-30T18:01:59+00:00,Top Industrial Stocks To Watch Now - March 30th,https://www.marketbeat.com/instant-alerts/top-industrial-stocks-to-watch-now-march-30th-2025-03-30/,"Tesla, Broadcom, and Micron Technology are the three Industrial stocks to watch today, according to MarketBeat's stock screener tool. Industrial stocks are shares of companies involved in the production and distribution of goods essential to the economy, such as machinery, construction materials, a",lulegacy
construction materials,2025-03-25T12:12:07+00:00,Cyprus: Construction Material Prices Up 1.38% Annually in February 2025,https://famagusta-gazette.com/cyprus-construction-material-prices-up-1-38-annually-in-february-2025/,"FAMAGUSTA GAZETTE &#8211; The Price Index of Construction Materials rose by 1.38% in February 2025 compared to the same month last year, reaching 118.56 units (2021=100). Month-over-month, the index increased by 0.82%. Year-over-year, notable category increases included minerals (3.09%), mineral products (3.04%), electromechanical products (1.85%), and products of wood, insulation materials, chemicals, and plastics (0.84%). [&#8230;]",famagusta-gazette
construction materials,2025-03-25T06:34:45+00:00,Holcim Targets Up to 8% Annual Revenue Growth for US Spinoff,https://financialpost.com/pmn/business-pmn/holcim-targets-up-to-8-annual-revenue-growth-for-us-spinoff,Holcim Ltd.’s soon-to-be spun-off US construction materials business Amrize said it will target revenue growth of between 5% and 8% a year through fiscal 2028 as it bets on rising building activity in North America.,business
construction materials,2025-03-22T02:03:49+00:00,Bass issues order to expedite rebuilding of more fire-resistant homes in LA,https://www.dailynews.com/2025/03/21/bass-issues-order-to-expedite-rebuilding-of-more-fire-resistant-homes-in-la/,"The order directs city departments to streamline permitting for homeowners who rebuild all-electric and more fire-resistant homes, promote the use of fire-resistant construction materials.",dailynews
construction materials,2025-03-19T04:50:00+00:00,Construction costs in Cyprus climb as material prices increase in February,https://cyprus-mail.com/2025/03/19/construction-costs-in-cyprus-climb-as-material-prices-increase-in-february,"Cyprus’ Construction Materials Price Index for February 2025 recorded an annual increase of 1.38 per cent, according to the latest data from the Cyprus Statistical Service (Cystat). Meanwhile, prices for the first two months of the year rose by 0.94 per cent. In February, the index reached 118.56 units, with 2021 acting as the base [&#8230;]",cyprus-mail
construction materials,2025-03-15T09:56:50+00:00,Need for expertise to maintain old buildings,https://www.theborneopost.com/2025/03/15/need-for-expertise-to-maintain-old-buildings/,"(March 15): Sabah has a significant number of old reinforced concrete (RC) buildings, many of which were constructed decades ago. These buildings serve residential, commercial and public purposes, and require proper maintenance to ensure they remain safe, functional.and compliant with modern regulations. However, due to the tropical climate, environmental conditions, sub-standard construction material and material [...]The post Need for expertise to maintain old buildings appeared first on Borneo Post Online.",theborneopost
construction materials,2025-03-11T16:01:00+00:00,Vancouver developer decries Canadaâs counter-tariffs on construction materials (Business),https://www.castanet.net/news/Business/537908/Vancouver-developer-decries-Canada-s-counter-tariffs-on-construction-materials,"By imposing retaliatory tariffs on imports from the U.S., Canada may be cutting off its nose to spite its face. That&rsquo;s according to a top Vancouver developer, who said Canada risks a self-destructive reaction to U.S. tariffs by imposing counter-tariffs on 100-plus types of construction materia...",Castanet
construction materials,2025-03-06T23:28:30+00:00,Fire-ravaged Alberta town of Jasper gets more aid from governments,https://torontosun.com/news/national/fire-ravaged-alberta-town-of-jasper-gets-more-aid-from-governments,"JASPER, Alta. &#8212; The federal and Alberta governments are ushering in new support for Jasper as the mountain town continues to rebuild from last summer&#8217;s devastating wildfires. The federal government says $2 million will be spent on a pop-up village for 11 local businesses and a storage workspace for construction materials inside the town&#8217;s small [&#8230;]",torontosun
construction materials,2025-03-05T17:30:13+00:00,WINTRUP: Trade war will make housing even less affordable,https://winnipegsun.com/opinion/wintrup-trade-war-will-make-housing-even-less-affordable,"A trade war between Canada and the United States will impede average people’s access to housing, accelerating the housing crisis for Winnipeggers already painfully suffering on the housing front. Canadian retaliatory tariffs of 25% applied to construction materials flowing north from the United States will drive up the hard construction costs of homebuilding. A compounding [&#8230;]",winklertimes
construction materials,2025-02-26T13:27:15+00:00,UK seeks to ban companies named in Grenfell report from government contracts,https://www.ft.com/content/948e9c02-2173-48dc-b5a0-79e2446f6ee9,Public inquiry into deadly fire has triggered proposals to reform the way construction materials are tested and regulated,Financial Times
construction materials,2025-02-24T19:56:19+00:00,County wants to buy land to improve emergency evacuation routes in Lahaina,https://mauinow.com/2025/02/24/county-wants-to-buy-land-to-improve-emergency-evacuation-routes-in-lahaina/,A council committee backed the $1.7 million purchase of land that could be used in the short term to house volunteers helping with rebuilding and to store construction materials.,mauinow
construction materials,2025-02-22T17:02:16+00:00,County wants to buy land to improve emergency evacuation routes in Lahaina,https://mauinow.com/2025/02/22/county-wants-to-buy-land-to-improve-emergency-evacuation-routes-in-lahaina/,A council committee backed the $1.7 million purchase of land that could be used in the short term to house volunteers helping with rebuilding and to store construction materials.,mauinow
construction materials,2025-02-21T15:01:41+00:00,Naval Station Guantanamo Bay Illegal Alien Holding Operations [Image 14 of 16],https://www.dvidshub.net/image/8880115/naval-station-guantanamo-bay-illegal-alien-holding-operations,"250220-N-EH855-1100 GUANTANAMO BAY, Cuba (February 20, 2025) U.S. service members load construction material onto a truck at Naval Station Guantanamo Bay in support of the Department of Defense and Department of Homeland Security mission to expand the Illegal Alien Holding Operations Center during Operation Southern Guard at Naval Station Guantanamo Bay, Cuba, February 20, 2025. At the direction of the President of the United States to the Department of Homeland Security (DHS) and the Department of Defense, U.S. military service members are supporting removal operations led by DHS at Naval...",dvidshub
construction materials,2025-02-21T15:01:41+00:00,Naval Station Guantanamo Bay Illegal Alien Holding Operations [Image 12 of 16],https://www.dvidshub.net/image/8880113/naval-station-guantanamo-bay-illegal-alien-holding-operations,"250220-N-EH855-1096 GUANTANAMO BAY, Cuba (February 20, 2025) U.S. service members load construction material onto a truck at Naval Station Guantanamo Bay in support of the Department of Defense and Department of Homeland Security mission to expand the Illegal Alien Holding Operations Center during Operation Southern Guard at Naval Station Guantanamo Bay, Cuba, February 20, 2025. At the direction of the President of the United States to the Department of Homeland Security (DHS) and the Department of Defense, U.S. military service members are supporting removal operations led by DHS at Naval...",dvidshub
construction materials,2025-02-21T15:01:40+00:00,Naval Station Guantanamo Bay Illegal Alien Holding Operations [Image 11 of 16],https://www.dvidshub.net/image/8880112/naval-station-guantanamo-bay-illegal-alien-holding-operations,"250220-N-EH855-1092 GUANTANAMO BAY, Cuba (February 20, 2025) A U.S. service member loads construction material onto a truck at Naval Station Guantanamo Bay in support of the Department of Defense and Department of Homeland Security mission to expand the Illegal Alien Holding Operations Center during Operation Southern Guard at Naval Station Guantanamo Bay, Cuba, February 20, 2025. At the direction of the President of the United States to the Department of Homeland Security (DHS) and the Department of Defense, U.S. military service members are supporting removal operations led by DHS at Naval...",dvidshub
construction materials,2025-02-14T09:36:30+00:00,Price growth of building materials in Metro Manila slows in January,https://www.bworldonline.com/economy/2025/02/14/653360/price-growth-of-building-materials-in-metro-manila-slows-in-january/,"Price growth of construction materials in the National Capital Region (NCR) eased in January amid lower interest rates and a weaker peso, the Philippine Statistics Authority (PSA) reported on Friday. According to preliminary data, the January construction materials retail price index (CMRPI) slowed to 1.2% in January, from 1.5% recorded in December and 1.4% reported [&#8230;]",Business World
construction materials,2025-02-13T08:25:59+00:00,Report: Hamas Wants To Continue Deal: “We’ll Release 3 Hostages On Shabbos”,https://www.theyeshivaworld.com/news/israel-news/2364245/report-hamas-wants-to-continue-deal-well-release-3-hostages-on-shabbos.html,"Hamas is committed to continuing the hostage deal and intends to carry out the sixth hostage release on Shabbos and release another three hostages, according to a message on an official Hamas channel on Thursday morning. According to a report in the Saudi news outlet Al Asharq  Saudi news outlet, Hamas confirmed its commitment to the agreement to Egyptian officials. The report added that Hamas conditioned the step on Israel allowing the entry of trailers, tents, heavy equipment, fuel, medications and hospital construction materials into the Gaza Strip. Following US President Donald Trump&#8217...",theyeshivaworld
construction,2025-05-05T09:10:59+00:00,"Schonfeld Strategic Advisors LLC Has $4.57 Million Stock Holdings in Martin Marietta Materials, Inc. (NYSE:MLM)",https://www.marketbeat.com/instant-alerts/schonfeld-strategic-advisors-llc-has-457-million-stock-holdings-in-martin-marietta-materials-inc-nysemlm-2025-05-03/,"Schonfeld Strategic Advisors LLC reduced its stake in shares of Martin Marietta Materials, Inc. (NYSE:MLM - Free Report) by 49.7% during the 4th quarter, according to the company in its most recent 13F filing with the SEC. The institutional investor owned 8,839 shares of the construction company's",lulegacy
construction,2025-05-05T09:10:58+00:00,Schonfeld Strategic Advisors LLC Trims Stock Position in Taylor Morrison Home Co. (NYSE:TMHC),https://www.marketbeat.com/instant-alerts/schonfeld-strategic-advisors-llc-trims-stock-position-in-taylor-morrison-home-co-nysetmhc-2025-05-03/,"Schonfeld Strategic Advisors LLC trimmed its holdings in Taylor Morrison Home Co. (NYSE:TMHC - Free Report) by 44.7% in the 4th quarter, according to its most recent disclosure with the SEC. The firm owned 92,795 shares of the construction company's stock after selling 74,937 shares during the peri",lulegacy
construction,2025-05-05T09:10:30+00:00,Fluor Co. (NYSE:FLR) Shares Acquired by AQR Capital Management LLC,https://www.marketbeat.com/instant-alerts/fluor-co-nyseflr-shares-acquired-by-aqr-capital-management-llc-2025-05-03/,"AQR Capital Management LLC raised its stake in Fluor Co. (NYSE:FLR - Free Report) by 20.0% during the fourth quarter, according to its most recent disclosure with the SEC. The fund owned 663,394 shares of the construction company's stock after buying an additional 110,776 shares during the quarter.",lulegacy
construction,2025-05-05T09:10:22+00:00,"AQR Capital Management LLC Boosts Stock Holdings in D.R. Horton, Inc. (NYSE:DHI)",https://www.marketbeat.com/instant-alerts/aqr-capital-management-llc-boosts-stock-holdings-in-dr-horton-inc-nysedhi-2025-05-03/,"AQR Capital Management LLC increased its stake in shares of D.R. Horton, Inc. (NYSE:DHI - Free Report) by 9.9% in the 4th quarter, according to its most recent 13F filing with the Securities and Exchange Commission (SEC). The institutional investor owned 249,784 shares of the construction company'",lulegacy
construction,2025-05-05T09:10:07+00:00,"AQR Capital Management LLC Sells 35,753 Shares of Vulcan Materials (NYSE:VMC)",https://www.marketbeat.com/instant-alerts/aqr-capital-management-llc-sells-35753-shares-of-vulcan-materials-nysevmc-2025-05-03/,"AQR Capital Management LLC cut its stake in Vulcan Materials (NYSE:VMC - Free Report) by 18.7% in the fourth quarter, according to the company in its most recent filing with the Securities and Exchange Commission (SEC). The fund owned 155,637 shares of the construction company's stock after selling",lulegacy
construction,2025-05-05T09:02:53+00:00,"Northern Trust Corp Purchases 98,533 Shares of UFP Industries, Inc. (NASDAQ:UFPI)",https://www.marketbeat.com/instant-alerts/northern-trust-corp-purchases-98533-shares-of-ufp-industries-inc-nasdaqufpi-2025-05-03/,"Northern Trust Corp increased its position in shares of UFP Industries, Inc. (NASDAQ:UFPI - Free Report) by 9.7% during the 4th quarter, according to its most recent 13F filing with the Securities and Exchange Commission (SEC). The firm owned 1,111,147 shares of the construction company's stock aft",lulegacy
construction,2025-05-05T09:02:51+00:00,Northern Trust Corp Increases Stake in Owens Corning (NYSE:OC),https://www.marketbeat.com/instant-alerts/northern-trust-corp-increases-stake-in-owens-corning-nyseoc-2025-05-03/,"Northern Trust Corp boosted its stake in shares of Owens Corning (NYSE:OC - Free Report) by 27.4% during the 4th quarter, according to the company in its most recent filing with the Securities and Exchange Commission. The fund owned 964,861 shares of the construction company's stock after purchasin",lulegacy
construction,2025-05-05T09:02:48+00:00,"Watsco, Inc. (NYSE:WSO) Shares Purchased by Northern Trust Corp",https://www.marketbeat.com/instant-alerts/watsco-inc-nysewso-shares-purchased-by-northern-trust-corp-2025-05-03/,"Northern Trust Corp boosted its position in shares of Watsco, Inc. (NYSE:WSO - Free Report) by 25.5% during the 4th quarter, according to the company in its most recent disclosure with the Securities &amp; Exchange Commission. The firm owned 333,348 shares of the construction company's stock after",lulegacy
construction,2025-05-05T09:02:34+00:00,"Comfort Systems USA, Inc. (NYSE:FIX) Shares Bought by Northern Trust Corp",https://www.marketbeat.com/instant-alerts/comfort-systems-usa-inc-nysefix-shares-bought-by-northern-trust-corp-2025-05-03/,"Northern Trust Corp grew its holdings in Comfort Systems USA, Inc. (NYSE:FIX - Free Report) by 20.1% during the 4th quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission (SEC). The fund owned 314,821 shares of the construction company's stock after purcha",lulegacy
